DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES;INVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL
1312212.34;25423.98;ABRANTES;15344.58;142997.04;T1_1401;4949754.52;76007.67;1642254.18;T1;205372.67;553008.3;3553330.28;1401;454277.67;522856.09;942146.57
1721711.86;24339.25;ÁGUEDA;75639.89;466071.98;T1_0101;5375824.91;227.27;1866327.74;T1;444469.35;8388.53;4143552.91;0101;213363;555286.04;1018909
317188.87;7500;AGUIAR DA BEIRA;43893.69;140261;T1_0901;1180459.93;17011.05;416192.54;T1;4511.47;7114.3;833542.08;0901;143637.39;83149.62;203280.46
321254.17;0;ALANDROAL;41089.12;27227.62;T1_0701;1446648.23;39158.1;868135.16;T1;23789.78;9520.23;1282139.29;0701;62882.19;53591.86;101626.75
828823.78;0;ALBERGARIA-A-VELHA;34950.71;516496.12;T1_0102;2929747.17;7785.94;1046928.94;T1;101967.78;224659.33;1981164.09;0102;70509.14;97625.43;878073.94
4547836.51;0;ALBUFEIRA;328284.63;621574.65;T1_0801;12246105.71;27970.25;5219338.56;T1;264454.7;362416.69;10641034.42;0801;28340.62;845889.1;1576730.67
752416.9;1049.89;ALCÁCER DO SAL;51270.91;289395.12;T1_1501;3476135.37;3616.97;1471036.88;T1;57298.23;409930.54;2538462.35;1501;128728.33;311391.6;808944.69
408350.43;22586.91;ALCANENA;2236.6;40535.99;T1_1402;1709928.29;30897.5;687988.97;T1;82413.13;636.94;1336000.28;1402;225518.44;208763.38;148409.57
1111992.05;178500;ALCOBAÇA;4801.44;248125.52;T1_1001;4738067.58;47364.46;1615895.81;T1;283125.69;28248.4;3397734.62;1001;597531.91;622482.3;742801.05
602380.9;0;ALCOCHETE;25973.2;81556.76;T1_1502;2854301.87;7209.77;1598869.4;T1;84366.92;156837.03;2425237.07;1502;80330.89;216777;348733.91
315912.99;12084.23;ALCOUTIM;40041.8;131660.51;T1_0802;1598618.97;7597.49;608686.91;T1;91019.11;26579.44;1105783.17;0802;191450.71;173585.78;301385.09
818925.84;0;ALENQUER;0;119645.45;T1_1101;4713864.72;64056.65;2004131.16;T1;25810.73;782323.36;3487611.39;1101;298473.79;600497.74;927779.54
343102.59;9800;ALFÂNDEGA DA FÉ;14098.46;43713.93;T1_0401;1549800.07;43441.9;612895.65;T1;33084.56;32556.13;1233421;0401;183125.99;233980.86;133253.08
658796.38;33403;ALIJÓ;87173.01;313155.11;T1_1701;2332984.96;9687.5;839882.45;T1;111351.84;144214.08;1631187.92;1701;12500;122821.59;689297.04
466321.68;27837.5;ALJEZUR;1261.16;74113.63;T1_0803;1958682.34;26979.66;698583.6;T1;18835.35;63388.03;1492297.65;0803;280949.02;300412.71;185435.67
617720.25;3423.56;ALJUSTREL;138276.72;588957.44;T1_0201;2629668.11;22730.92;739279.32;T1;82010.21;10651.97;1703573.77;0201;102774.44;323843.28;823319.9
4308044.07;6308.29;ALMADA;133933.98;1085959.41;T1_1503;16507702.97;74959.07;6769148.89;T1;278999.3;126436.25;13434403.6;1503;1441662.14;2282251.57;1631637.23
894945.27;11552.42;ALMEIDA;83626.47;124616.23;T1_0902;3120077.5;36090.01;622244.17;T1;415111.33;185083.89;2037487.05;0902;262600.11;484207.6;819990.34
1121093.04;0;ALMEIRIM;40078.62;666718.56;T1_1403;4572166.39;38011.91;1227697.54;T1;103144.87;1012323.93;2662668.14;1403;87232.27;275865.65;1822265.98
533472.63;1670;ALMODÔVAR;0;353308.38;T1_0202;2321629.92;22652.82;928541.85;T1;95214.11;3254.4;1690111.14;0202;178071.89;205443.84;453446.89
303701.01;0;ALPIARÇA;4770.96;17766;T1_1404;1363670.49;26873.71;683554.49;T1;46877.99;66817.37;1043426.69;1404;184011.48;29297.48;136232.32
362472.98;34101.32;ALTER DO CHÃO;7002.2;201812.9;T1_1201;1332208.48;514.64;597765.5;T1;49626.54;2899.61;1022558.64;1201;14207.27;61805.52;295442.57
482976.65;121203.6;ALVAIÁZERE;184200.99;361275.01;T1_1002;2097029.86;5220.09;413445.64;T1;189318.49;130955.2;974631.13;1002;135445.44;72988.75;986953.29
138284.63;0;ALVITO;5295.14;1741.59;T1_0203;945620.94;6052.07;444363.83;T1;184867.85;5864.47;657870.91;0203;89980.98;69170.38;197769.05
4028997.7;656380;AMADORA;620864.54;15107.16;T1_1115;15375357.94;32408.13;6148445.35;T1;289910.17;576873.19;12805388.52;1115;410834.36;2595537.34;2159135.06
1427053.01;0;AMARANTE;536827.45;383336.86;T1_1301;6593897.47;34261.29;2056799.47;T1;914144.27;101357.96;4001108.83;1301;657122.1;482995.06;1935666.54
578649.94;0;AMARES;102334.69;345874.77;T1_0301;2971754.99;67694.88;929365.01;T1;49597.47;278632.71;1756436.07;0301;438879.28;180726.24;776439.64
674465.89;158560;ANADIA;20173.53;284701.15;T1_0103;2816696.02;29875.29;905676.59;T1;100613.02;193712.88;1814053.07;0103;244882.37;204035.3;757760.58
505597.98;34072.79;ANGRA DO HEROÍSMO;98085.43;818088.88;T1_4301;3995924.07;28081.07;901023.45;T1;132814.97;225334.94;1836590.33;4301;850936.73;401887.83;1308397.01
437062.63;80250;ANSIÃO;3569.52;221775.43;T1_1003;2115849.7;54466.39;544308.92;T1;123981.96;270396.42;1120860.82;1003;295015.55;85022.88;699973.33
689059.39;321586.69;ARCOS DE VALDEVEZ;250264.96;264903.6;T1_1601;3990504.29;34123.87;1098748.26;T1;122811.38;286580.52;2117570.28;1601;626786.86;295638.76;1246147.15
369681.76;0;ARGANIL;4804.66;296935.91;T1_0601;2034520.14;12434.5;893179.57;T1;52897.57;53544.37;1449904.63;0601;176433;174608.8;408182.51
511993.52;10000;ARMAMAR;31240.46;374296.73;T1_1801;2135263.84;46091.8;730063.4;T1;70887.98;92293.23;1322597.66;1801;233947.78;34448.94;578718.4
1262852.3;6378;AROUCA;116760.81;233789.97;T1_0104;3714789.88;5320.36;765733.9;T1;121500.31;934468.04;2132915.57;0104;168977.18;99009.01;1412897.13
669334.09;0;ARRAIOLOS;204244.08;0;T1_0702;2368985.05;24061.68;702777.02;T1;96159.85;259618.9;1558563.67;0702;250398.55;162390.88;560022.83
259536.01;0;ARRONCHES;9460.26;1848.38;T1_1202;1543825.7;5070.64;445281.8;T1;473998.49;177320.28;798907.64;1202;82290.65;89019.19;662627.41
1042354.18;10000;ARRUDA DOS VINHOS;31139.34;126630.03;T1_1102;2853454.13;28156.12;849165.88;T1;163076.46;137288.33;2176863.24;1102;208456.73;257187.06;468134.16
478420.62;179565.23;AVEIRO;47350.96;48181.06;T1_0105;5891713.84;241135.62;2603754.08;T1;257310.75;6268.9;4470028.4;0105;883008.54;1146718.08;538676.9
379905.26;0;AVIS;2897.48;93917.49;T1_1203;2446931.32;24090.45;865671.85;T1;145192.08;29380.92;1495668.31;1203;679875.04;226000.75;271387.97
551018.76;0;AZAMBUJA;0;45468.5;T1_1103;4165338.09;166687.32;1422326.33;T1;85260.31;14640;2374739.85;1103;1645229.43;234707.44;145368.81
780294.6;381500;BAIÃO;55198.25;99996.78;T1_1302;3306990.65;10999.34;1171683.18;T1;376627.75;0;2103714.57;1302;289953.3;140737.45;913322.78
3354845.51;244814.43;BARCELOS;125657.68;1964159.6;T1_0302;13978007.85;4186.26;2936454.52;T1;812077.13;490172.61;8446844.63;0302;1894281.77;2151358.34;3636881.45
119310.15;231.74;BARRANCOS;0;3969.81;T1_0204;1120966.44;15657.97;461693.87;T1;48256.36;304.22;801028.85;0204;267175.46;204366.86;52762.13
