NVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES
;5516997.54;332.1;ABRANTES;975458.75;1790604.08;A_1401;23778353.74;133571.48;7060234.33;A;635371.29;1694694.54;16442494.47;1401;2239398.51;3731691.12
;6513734.94;134657.29;ÁGUEDA;205637.3;2068009.11;A_0101;25863045.72;80704.3;7426086.26;A;1983587.56;2380630.2;16620453.87;0101;2470070.39;2599928.37
;2086591.12;15000;AGUIAR DA BEIRA;510357.07;2117687.59;A_0901;8526674.99;25487.32;1975710.4;A;374660.84;405663.81;4602606.6;0901;500699.08;514817.76
;2045775.17;3154.68;ALANDROAL;124074;466153.22;A_0701;8963825.2;617333.11;3359984.45;A;298787.58;300452.93;6792166.61;0701;979036.18;769073.88
;4544267.8;440160.42;ALBERGARIA-A-VELHA;32895.59;1145638.33;A_0102;13802822.21;56230.11;4105708.65;A;1354135.16;189728.39;9625885.67;0102;1014378.65;919679.11
;28316960.8;251109.3;ALBUFEIRA;347694.33;439738.4;A_0801;77834083.32;5103990.94;20124777.6;A;559808.07;357843.66;56721838.69;0801;19156050.87;3176109.35
;5306057.75;23975.05;ALCÁCER DO SAL;87150.31;757483.57;A_1501;15353653.56;24941.4;6750716.58;A;602077.69;52818.79;13404309.88;1501;425838.27;1322594.15
;3306450.37;0;ALCANENA;40445.59;144611.43;A_1402;10951740.32;359392.14;3021362.75;A;775985.04;44401.1;7702207.22;1402;2244089.94;1015001.96
;11338675.46;3757.45;ALCOBAÇA;16545.9;601405.45;A_1001;26811788.08;439681.58;6922115.53;A;1347591.85;145500.17;21475657.24;1001;3221330.02;2775184.67
;3256986.85;10000;ALCOCHETE;34656.93;223454.48;A_1502;11960397.03;91043.95;6529833.81;A;250322.95;122647.58;10570846.43;1502;748468.66;692981.82
;2006897.96;331887.36;ALCOUTIM;134539.9;137896.25;A_0802;9211968.6;12224.64;2817384.68;A;2510771.13;1406.97;5234589.55;0802;860877.44;398082.27
;6615718.17;153607;ALENQUER;8425.5;2644131.51;A_1101;25089705.32;239288.63;9467762.57;A;193810.55;2512262.9;18103100.62;1101;1474367.24;1780331.25
;1874043.04;0;ALFÂNDEGA DA FÉ;56925.84;259642.5;A_0401;9019674.06;1189229.74;2855129.3;A;645850.16;297420.67;6665991.17;0401;1093843.72;747589.09
;5688593.17;58549.62;ALIJÓ;214411.78;1493816.66;A_1701;21575700.94;837574.48;2845553.15;A;554536.44;126941.9;10064225.72;1701;9063218.82;692504.92
;3058777.56;139704.12;ALJEZUR;51976.92;194335.46;A_0803;9102499.88;51663.28;3185302.6;A;460894.8;84706.93;7480937.47;0803;689944.18;1185194.03
;2479972.9;0;ALJUSTREL;425110.55;326569.68;A_0201;10613296.94;168712.72;3535352.5;A;1172187.35;243389.76;7270012.05;0201;1176027.55;1085973.93
;21682918.29;477745.37;ALMADA;1537020.32;1586245.22;A_1503;73367923.78;429353.28;28169769.88;A;5544008.08;754431.9;57563370.31;1503;5905102.58;7281328.86
;2511747.05;16057;ALMEIDA;119556.79;651704.54;A_0902;9298916.29;161559.97;3063712.85;A;450551.66;596583.19;6643198.18;0902;821264.93;906178.31
;4476694.35;422827.87;ALMEIRIM;12945.48;284404.21;A_1403;13073968.44;117548.11;4579593.97;A;574847.15;422097.68;10647321.28;1403;709524.77;1473484.85
;2599302.6;9250.52;ALMODÔVAR;119439.87;662985.9;A_0202;11060348.86;39438.18;3892694.55;A;544724.42;752150.08;7965026.2;0202;1006771.87;1433590.87
;1263574.37;0;ALPIARÇA;134.58;11552.26;A_1404;5871744.71;266817.5;2701803.17;A;95841.14;17355.08;4733369.57;1404;1013492.08;501174.53
;1642185.08;20975.07;ALTER DO CHÃO;72779.69;308178.95;A_1201;6219273;24084.54;2645501.77;A;436184.16;34149.65;4855052.67;1201;491952.81;543281.28
;2156844.48;0;ALVAIÁZERE;2124.57;662023.17;A_1002;7753484.15;101311.38;1541058.9;A;1402841.75;641757.85;4183438.06;1002;861298.75;384223.3
;940173.13;31;ALVITO;90098.81;160981.37;A_0203;4102361.75;4622.46;1987521.42;A;177482.34;23059.06;3484116.05;0203;166593.12;551799.04
;27494953.44;1352068.27;AMADORA;974635.42;269801.21;A_1115;74619402.28;359447.88;26644144.72;A;2550751.73;1133606.43;63275561.28;1115;5062977.94;8777015.24
;9374643.53;332377.05;AMARANTE;32416.73;1486983.09;A_1301;30113055.39;207653.22;8893364.98;A;268363.98;2314241.84;21433950.6;1301;4244722.1;2958288.87
;2892501.51;16543.75;AMARES;442447.54;154666.38;A_0301;11596698.47;136953.62;3781988.87;A;289498.31;443272.48;8018556.08;0301;2231713.93;1207112.08
;5405539.88;26678.8;ANADIA;2293497.22;1004713.66;A_0103;17306327.18;172584.01;4176281.1;A;534386.23;1505667.81;10629165.37;0103;1312218.09;874760.38
;2760482.3;646699.39;ANGRA DO HEROÍSMO;252470.22;2318463.57;A_4301;18244809.84;131359.43;4856586.34;A;927926.67;1377230.06;9817100.23;4301;2904919.7;2068672.16
;3198929.49;41300.33;ANSIÃO;148964.51;909981.42;A_1003;9931848.42;278666.9;2242388.88;A;421184.9;366693.31;6273134.4;1003;1770589.55;553149.13
;5948297.74;334302.21;ARCOS DE VALDEVEZ;801898.88;1508169.53;A_1601;20801765.93;50386.63;4898259.31;A;1614203.17;1978293.83;11990402.47;1601;2574495.84;1093458.79
;3275958.46;72500;ARGANIL;244508.25;811278.99;A_0601;10968869.98;107397.75;3346504.89;A;389577.31;29210.7;7744409.68;0601;1677385.05;1014548.58
;2331564.38;74950;ARMAMAR;11225.26;2264534.42;A_1801;10212709.44;269723.67;2911885.53;A;299193.97;424652.18;6035866.24;1801;1102287.37;522692.66
;5282064.32;45997.56;AROUCA;208422.81;930451.36;A_0104;15289155.15;83987.47;3584395.92;A;1398249.07;740043.12;10337604.86;0104;1628386.37;1387157.15
;2204190.65;59191.03;ARRAIOLOS;2263867.52;3231.41;A_0702;9968163.4;52584.04;2868552.1;A;427044.29;59079.67;6024507.74;0702;1131241.74;899180.95
;1318382.22;108291.96;ARRONCHES;7091.87;51802.23;A_1202;5150062.11;11996.93;1790709.8;A;413437.57;684679.06;3548675.01;1202;336084.41;427586.06
;3428933.97;411.72;ARRUDA DOS VINHOS;145065.37;205453.78;A_1102;9616396.79;113117.24;3742303.14;A;208078.45;225204.33;7792893.71;1102;1039289.43;508539.36
;7316424.4;3126941.29;AVEIRO;87685.86;288383.23;A_0105;44831325.73;1781214.25;11709864.97;A;1514716.6;615625.56;27009583.36;0105;12188389.83;6202079.74
;1895086.67;18010.92;AVIS;41242.98;171300.58;A_1203;7238018.26;106610.45;3296321.57;A;510819.17;66605.56;5765395.12;1203;664643.93;467376.43
;3078439.8;126748;AZAMBUJA;36949.05;119302.2;A_1103;12668704;248228.98;5520910.62;A;131628.43;32990.65;10053526.41;1103;2167559.26;1205947.01
