IMI;FINANCIAMENTO_UNIAO_EUROPEIA;TAXAS_MULTAS_OUTROS_IMPOSTOS;DSC_AUTARQUIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
124979.52;47165.47;107005.17;ABRANTES;753771.35;167153.8;2772438;T1_1401;348217.43;T1;1401;532168.35;6415.43;4290524.57;184981.4
149737.1;4474238.55;111607.68;ÁGUEDA;761586.63;240189.1;2425773;T1_0101;260052.75;T1;0101;615383.24;0;9198073.4;921091.98
3083.46;0;15180.56;AGUIAR DA BEIRA;43688.7;17225.75;1206708;T1_0901;8198.93;T1;0901;233598.5;0;1493671.2;9676
7062.42;216742.68;6186.81;ALANDROAL;60291.04;19236.69;1357305;T1_0701;26230.53;T1;0701;299205.92;1574.59;2481888.56;548343.92
76420.81;739370.43;45917.07;ALBERGARIA-A-VELHA;367474.54;120967.89;1427562;T1_0102;124168.77;T1;0102;1997540.1;0;4570095.99;38148.92
549433.05;466748.32;530362.77;ALBUFEIRA;2164814.87;201954.04;1304712;T1_0801;847201.19;T1;0801;4534735.7;35863.82;9377193.79;906182.9
27093.81;239797.69;66614.96;ALCÁCER DO SAL;580396.43;54671.01;2278713;T1_1501;378481.98;T1;1501;384087.01;53534.67;3608440.54;125446.41
28439.92;9864.2;47278.83;ALCANENA;287175.47;65317.81;1166271;T1_1402;56892.34;T1;1402;473852.75;89246.57;2256892.49;319729.07
126825.48;95800.54;211123.42;ALCOBAÇA;1183404.48;297287.43;2726529;T1_1001;538116.44;T1;1001;927414.84;10051.71;4980294.5;47145.64
75841.07;25928.62;145780.91;ALCOCHETE;635121.01;92608.28;665264;T1_1502;288191.43;T1;1502;465577.47;32699.32;1848016.36;56125.26
2833.93;220755.89;5289.02;ALCOUTIM;23080.6;10254.62;1440243;T1_0802;4703.03;T1;0802;59977.51;0;1828615.5;84558.5
131065.98;0;96866.86;ALENQUER;781915.49;198795.31;1556664;T1_1101;349985.12;T1;1101;222472.96;5202.22;3513541.77;952489.32
2697.33;0;52165.53;ALFÂNDEGA DA FÉ;95095.43;10029.62;1332517;T1_0401;26824.95;T1;0401;128962.19;3378;1981628.03;425053.41
10617.95;0;26344.02;ALIJÓ;103808.9;41334.58;1505712;T1_1701;25512.35;T1;1701;377056.7;0;2009937.38;23359.78
29177.38;122810.48;70557.86;ALJEZUR;213504;32080.18;1096965;T1_0803;81688.58;T1;0803;292383.47;0;1745300.63;19637.68
4282.42;183951.94;33129.27;ALJUSTREL;127237.74;40479.45;1366251;T1_0201;48199.45;T1;0201;222114.38;1147.15;1987371.29;87816.23
513820.94;251640.81;353086.33;ALMADA;2809801.99;794989.57;4044468;T1_1503;1059846.41;T1;1503;1854843.54;88058.74;10018349.68;1057595.34
1303.34;23906.27;110108.57;ALMEIDA;152312.35;29477.56;1760181;T1_0902;11422.88;T1;0902;276995.94;0;2238564.74;25169.18
27067.32;253136.84;75341.01;ALMEIRIM;175075.5;69775.67;1335441;T1_1403;0;T1;1403;380157.59;2891.5;2986603.06;842792.13
6284.27;1092418.81;59528.3;ALMODÔVAR;111963.35;32874.58;1965771;T1_0202;13276.2;T1;0202;249626.18;0;3539109.15;119329.81
26089.68;0;28563.32;ALPIARÇA;158946.88;31571.01;798877;T1_1404;69969.27;T1;1404;100711.97;2753.6;1232065.48;173529.63
6568.99;0;4939.57;ALTER DO CHÃO;48677.38;12660.34;992262;T1_1201;24280.77;T1;1201;167115.19;227.71;1284500.69;76446.12
5118.6;261289.42;10541.49;ALVAIÁZERE;81389.02;33751.4;1086354;T1_1002;31977.53;T1;1002;513573.91;0;1995355.33;52748.98
2006.59;0;3544.14;ALVITO;28221.31;9636.56;765123;T1_0203;13034.02;T1;0203;131789.31;0;1004996.39;79862.77
163831.3;618552.99;380724.18;AMADORA;1179205.38;206483.82;4051614;T1_1115;263564.33;T1;1115;2144811.01;164601.75;9833665.27;1839481.89
81409.89;128312.38;302142.5;AMARANTE;955966.19;239563.94;3440460;T1_1301;332849.86;T1;1301;1285108.44;0;6385847.04;576000.03
14767.63;31611.25;73897.29;AMARES;281082.94;86947.86;1331361;T1_0301;105470.16;T1;0301;293899.77;0;2755062.5;817107.54
15147.29;2392312.61;39438.62;ANADIA;314846.51;145297.95;2007576;T1_0103;110124.59;T1;0103;904357.63;4838.06;6314640.39;695547.64
18457.94;1394933.15;117743.44;ANGRA DO HEROÍSMO;273356.97;137155.59;2491535;T1_4301;0;T1;4301;190746.65;0;4505641.43;155069.66
29404.45;44734.68;97984.19;ANSIÃO;208425.1;56696.93;1224528;T1_1003;24339.53;T1;1003;228349.95;0;5832923.98;4126886.25
19062.02;1399331.7;104256.44;ARCOS DE VALDEVEZ;291928.78;100172.12;2590998;T1_1601;68438.2;T1;1601;627840.42;0;5253237.24;343138.34
16995.41;169853.98;92597.22;ARGANIL;180704.8;49447.76;1502742;T1_0601;21664.41;T1;0601;330928.39;0;2198000.61;13771.44
6683.1;0;61893.45;ARMAMAR;128926.82;27085.23;1035104;T1_1801;31238;T1;1801;176437.45;2027.04;2602177.63;1261709.36
18798.88;601030.49;35075.05;AROUCA;218417.2;88426.66;2015241;T1_0104;71069.8;T1;0104;671280.02;5046.81;3999550.79;493582.08
