codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;despesatotal
1401;3268332.83;1602292.81;1029764.17;65903.57;570372.28;0;694081.77;338563.39;1028.5;146094.16;669478.77;5057223.06;5117579.42
101;3878307.75;1590900.03;1611888.26;4597.24;670922.22;48264.96;963637.23;7576.55;746396.34;181928.25;297536.24;5593596.23;6123647.32
901;922666.24;407410.41;398380.33;13376.59;103498.91;18000;8301.27;45356.14;364393.03;27639.11;109283.1;1183424.63;1495638.89
701;1387554.36;756704.96;455766.01;84952.5;90130.89;0;816.33;11274.87;10793.59;58854.15;715723.34;2312930.98;2185016.64
102;1858954.34;1030619.99;756823.65;12539.71;58970.99;371.95;289125.1;0;6936.96;61366.76;94161.47;3135619.33;2310916.58
801;8537050.27;4932255.72;2832963.88;297.91;771532.76;9818.03;1627610.15;303939.03;514046.75;166208.33;0;10796909.33;11158672.56
1501;2913262.86;1395512.3;971588.54;2784.1;543377.92;0;47073.23;78749.91;283320.47;53521.79;129282.08;3845724.49;3505210.34
1402;1292070.28;737473.3;320046.49;33926.26;200624.23;0;528;10283.52;2776.38;48314.3;217087.86;1713247.1;1571060.34
1001;4164508.45;1534400.89;1810503.72;101390.05;718213.79;125000;48808.74;1246.92;92960.14;82704.54;599976.55;5310599.2;5115205.34
1502;2169221.31;1568056.34;424867.84;16802.79;159494.34;0;19272.02;0;1113.2;67015.57;153457.62;2189382.56;2410079.72
802;1033918.64;600529.98;333482.87;2921.77;96984.02;9999.55;3369.18;175775;3065.83;284951.96;140032.83;2682157.24;1651112.99
1101;3275927.55;2144795.96;664967.61;83403.1;382760.88;0;344543.62;4736.85;286444.54;22162.58;298614.38;4641695.66;4232429.52
401;1386861.67;600430.17;481356.98;203955.97;101118.55;26587.66;18924.43;13737.79;112126.58;97821.46;369462.35;2009107.91;2025521.94
1701;1620480.26;765007.66;661336.77;95687.53;98448.3;71650.62;430228;44731.97;320352.69;55440.09;168962.24;2722685.59;2711845.87
803;1396423.36;686235.43;515201.52;10281.12;184705.29;20000;52708.74;4831.09;79224.55;77141.22;114000.35;1845272.4;1744329.31
201;1703164.91;742204.39;689608.79;20651.3;250700.43;21650;23725.6;53321.41;82713.26;114256.36;107157.2;1934679.53;2105988.74
1503;11000410.96;5752952.09;3477796.4;156698.54;1612963.93;0;197298.59;153867.45;66340.18;478051.98;459638.49;14342137.1;12355607.65
902;2149483.01;553078.45;1105061.89;58779.8;432562.87;4218;0;72158.02;462301.88;349480.23;155534.47;3058987.96;3193175.61
1403;2547048.85;1132738.54;1036081.83;23776.3;354452.18;47121.1;697008.84;10912;145302.71;33077.04;139065.53;3549497.18;3619536.07
202;1648245.56;931845.46;485292.85;23221.63;207885.62;0;55293.46;70121.49;366357.76;76201.64;145921.8;2927621.82;2362141.71
1404;1032620.26;688595.02;267447.48;31522.2;45055.56;0;84013;13147.49;14353.79;282226.24;191197.9;1514873.17;1617558.68
1201;1164711.52;585469.49;437297.41;7653.24;134291.38;65011.85;2504.7;19950.61;29890.85;109180.68;142026.86;1486164.1;1533277.07
1002;823972.5;362614.99;414723.49;5556.69;41077.33;771.52;114814.58;91760;227143.67;286363.06;70070.16;1638381.16;1614895.49
203;667531.99;461952.84;148053.61;4328.45;53197.09;0;2322.37;59000.33;125373.41;41539.6;65474.7;1170850.55;961242.4
1115;14981384.09;5932467.81;5802295.82;27763.85;3218856.61;0;286880.47;263046.39;12714.59;422781.4;469002.89;12821617.72;16435809.83
1301;5164505.62;2154945.96;2328863.29;49312.01;631384.36;115961;54361.91;482346.44;381632.47;106881.32;746445.56;8070052.66;7052134.32
301;1570140.38;860629.58;494920.98;53512.05;161077.77;0;237362.71;61176.58;287279.55;69404.96;436237.92;2781428.36;2661602.1
103;1904059.82;801144.16;911850.11;1866.44;189199.11;32465;76173.06;44121.31;210092.93;145071.31;148907.52;2925408.94;2560890.95
