codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas;despesatotal
1401;15709721.45;7110002.5;4831879.5;112063.79;3655775.66;670107.67;1986471.49;241851.46;326049.74;703029.74;2240868.49;17734393;8508429;563178;4991178.04;2995737.08;545606.76;573502.84;698338.48;177992.88;3031969.57;639638.39;21878100.04
101;17557735.94;7619550.9;7063938.66;47981.12;2826265.26;1133785.69;4467093.52;561985.45;1115340.22;2661328.3;2063200.73;21061389.3;6578649.01;3491848.4;6903886.66;3764253.74;761821.34;859881.85;1142358.83;375570.9;2056934.1;2030071.13;29560469.85
901;4748863.71;1933847.78;2243156.82;29803.99;542055.12;95194.25;45996.55;745192.79;1610176.48;239718.63;453795.74;5389211.72;3756204;181580.04;555294.93;383337.39;63208.41;79917.27;0;28831.86;763917.01;132215.74;7938938.15
701;6583395.7;3056689.57;2463892.21;393583.48;669230.44;0;54934.52;572321.06;871657.82;438691.3;576885.18;6492797.48;4178954.43;406325.07;608153.14;425032.92;77384.77;68966.85;26319.1;10449.5;754638.83;544726.01;9097885.58
102;10148472.74;4010681.56;4978556.05;31468.74;1127766.39;465459.62;131554.77;0;880529.54;933026.9;1156113.25;9817411.56;4333428;255038.07;3491973.78;1906425.74;391181.89;455258.14;558105.16;181002.85;1362034.56;374937.15;13715156.82
801;49153157.52;19859464;23415486.54;268713.83;5609493.15;261995.91;246732.45;227034.05;1252393.71;1605179.19;6916106.73;63349550.48;3977064;271072.44;39103765.84;20329349.34;15080670.19;1036216.73;869375.63;1788153.95;17795045.42;2202602.78;59662599.56
1501;13752367.2;7183465;5022492.24;8590.72;1537819.24;30000;897450.26;158451.5;118078.76;948937.13;350393.05;12592947.96;7003116;827394.5;2696025.1;1059441.72;1167612.37;180574.2;739.85;287656.96;1781341.6;285070.76;16255677.9
1402;7633468.02;2984116.72;3409946.9;239454.99;999949.41;102899.78;174209.53;6418899.4;159322.05;873848.28;6636377.09;14816291.53;3594922.17;2237931.76;2402336.65;1492514.42;188401.43;239938.8;286829.48;194652.52;1300319.66;5280781.29;21999024.15
1001;19197101.48;6564823.91;9787705.3;120111.04;2724461.23;38580.75;166969.88;146874.47;2416230.44;1568873.42;6359631.02;21361216.55;8203068;397453.36;9194087.26;5576729.38;1330844.83;1092709.53;640766.14;553037.38;3109111.54;457496.39;29894261.46
1502;12103671.66;6832560.6;4079703.79;69947.78;1121459.49;0;45250.25;34837.1;190692.19;717515.11;982258.84;10148482.21;2120078.51;4499.29;5575278.29;2545426.71;1049770.61;270715.47;577164.62;1132200.88;2227139.68;221486.44;14074225.15
802;5781769.65;2786791.99;1990306.51;23638.23;981032.92;237502.92;0;174053.09;328902.04;1003641.06;408365.53;6042173.83;4399209;341548.42;278682.98;181218.67;39553.54;32650.69;0;25260.08;315414.93;707318.5;7934234.29
1101;17936476.66;9422308.65;5680394.22;241101.14;2592672.65;1322073.99;461424.05;19366.07;1055895.2;291356.39;2111761.63;17275890.34;4929786;52589.22;6581580.01;4284654.94;1036310.91;713873.2;96656.59;450084.37;2387439.46;3324495.65;23198353.99
401;6499730.13;2715424.26;2205923.41;790985.92;787396.54;25000;153862.48;82868.96;88057.69;1034696.1;12971291.7;18588138.22;4097755.08;814608.54;843906.45;390599.26;58208.33;61744.83;40186.01;293168.02;460778.11;12371090.04;20855507.06
1701;8460996.75;2779246.42;4599548.44;846016.38;236185.51;30000;279141.3;235950.39;1245458.14;849915.93;2882233.75;9847442.99;5005817.48;211633.16;1378440.93;957334.6;132797.96;157435.76;80546.13;50326.48;1288162.9;1963388.52;13983696.26
