codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas;despesatotal
1401;3268332.83;1602292.81;1029764.17;65903.57;570372.28;0;694081.77;338563.39;1028.5;146094.16;669478.77;5057223.06;2921028;220882.02;792570.08;85801.03;263841.56;142098.36;154130.18;146698.95;746144.74;376598.22;5117579.42
101;3878307.75;1590900.03;1611888.26;4597.24;670922.22;48264.96;963637.23;7576.55;746396.34;181928.25;297536.24;5593596.23;2435111;1062886.72;1031646.49;69426.64;580016.65;201636.14;3161.41;177405.65;264255.86;799696.16;6123647.32
901;922666.24;407410.41;398380.33;13376.59;103498.91;18000;8301.27;45356.14;364393.03;27639.11;109283.1;1183424.63;869276;0;27903.71;1793.51;2475.96;5126.91;0;18507.33;247060.89;39184.03;1495638.89
701;1387554.36;756704.96;455766.01;84952.5;90130.89;0;816.33;11274.87;10793.59;58854.15;715723.34;2312930.98;1289682;15485.85;85283.09;4082.7;59261.09;17555.12;311.74;4072.44;191862.61;730617.43;2185016.64
102;1858954.34;1030619.99;756823.65;12539.71;58970.99;371.95;289125.1;0;6936.96;61366.76;94161.47;3135619.33;1502661;101581.95;551958.26;33744.42;172679.43;100921.48;124663.76;119949.17;485030.74;494387.38;2310916.58
801;8537050.27;4932255.72;2832963.88;297.91;771532.76;9818.03;1627610.15;303939.03;514046.75;166208.33;0;10796909.33;767566;0;3512748.88;785714.51;2052343.18;237711.24;0;436979.95;4148933.57;2367660.88;11158672.56
1501;2913262.86;1395512.3;971588.54;2784.1;543377.92;0;47073.23;78749.91;283320.47;53521.79;129282.08;3845724.49;2400357;6959.02;738466.64;20476.23;231823.18;46685.9;2284.19;437197.14;389429.71;310512.12;3505210.34
1402;1292070.28;737473.3;320046.49;33926.26;200624.23;0;528;10283.52;2776.38;48314.3;217087.86;1713247.1;1104927;0;259519.12;20257.09;128579.23;55226.12;0;55456.68;228943.55;119857.43;1571060.34
1001;4164508.45;1534400.89;1810503.72;101390.05;718213.79;125000;48808.74;1246.92;92960.14;82704.54;599976.55;5310599.2;2869962;28336.7;1561063.51;127137.91;882247.02;246394.82;1207.38;304076.38;336199.04;515037.95;5115205.34
1502;2169221.31;1568056.34;424867.84;16802.79;159494.34;0;19272.02;0;1113.2;67015.57;153457.62;2189382.56;720114.6;8045.69;717898.35;58862.69;295240.4;75416.75;27764.16;260614.35;587087.85;156236.07;2410079.72
802;1033918.64;600529.98;333482.87;2921.77;96984.02;9999.55;3369.18;175775;3065.83;284951.96;140032.83;2682157.24;1517808;938414.17;23299.52;3441.95;3722.14;7127.15;0;9008.28;98992.32;103643.23;1651112.99
1101;3275927.55;2144795.96;664967.61;83403.1;382760.88;0;344543.62;4736.85;286444.54;22162.58;298614.38;4641695.66;1782368;371697.49;905903.89;95243.6;416675.79;172645.53;0;221338.97;434661.43;1147064.85;4232429.52
401;1386861.67;600430.17;481356.98;203955.97;101118.55;26587.66;18924.43;13737.79;112126.58;97821.46;369462.35;2009107.91;1394440;24491.35;59166.82;2043.03;17024.69;10104.41;0;29994.69;107421.02;423588.72;2025521.94
1701;1620480.26;765007.66;661336.77;95687.53;98448.3;71650.62;430228;44731.97;320352.69;55440.09;168962.24;2722685.59;1447486;625904.51;283871.98;6785.32;209552.73;33319.57;0;34214.36;229702.19;135720.91;2711845.87
803;1396423.36;686235.43;515201.52;10281.12;184705.29;20000;52708.74;4831.09;79224.55;77141.22;114000.35;1845272.4;1154715;12731.15;331695.98;51756.7;206586.24;23839.19;0;49513.85;313746.75;32383.52;1744329.31
