codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;despesatotal
1401;16442494.47;7060234.33;5516997.54;133571.48;3731691.12;332.1;1694694.54;975458.75;1790604.08;635371.29;2239398.51;23778353.74
0101;16620453.87;7426086.26;6513734.94;80704.3;2599928.37;134657.29;2380630.2;205637.3;2068009.11;1983587.56;2470070.39;25863045.72
0901;4602606.6;1975710.4;2086591.12;25487.32;514817.76;15000;405663.81;510357.07;2117687.59;374660.84;500699.08;8526674.99
0701;6792166.61;3359984.45;2045775.17;617333.11;769073.88;3154.68;300452.93;124074;466153.22;298787.58;979036.18;8963825.2
0102;9625885.67;4105708.65;4544267.8;56230.11;919679.11;440160.42;189728.39;32895.59;1145638.33;1354135.16;1014378.65;13802822.21
0801;56721838.69;20124777.6;28316960.8;5103990.94;3176109.35;251109.3;357843.66;347694.33;439738.4;559808.07;19156050.87;77834083.32
1501;13404309.88;6750716.58;5306057.75;24941.4;1322594.15;23975.05;52818.79;87150.31;757483.57;602077.69;425838.27;15353653.56
1402;7702207.22;3021362.75;3306450.37;359392.14;1015001.96;0;44401.1;40445.59;144611.43;775985.04;2244089.94;10951740.32
1001;21475657.24;6922115.53;11338675.46;439681.58;2775184.67;3757.45;145500.17;16545.9;601405.45;1347591.85;3221330.02;26811788.08
1502;10570846.43;6529833.81;3256986.85;91043.95;692981.82;10000;122647.58;34656.93;223454.48;250322.95;748468.66;11960397.03
0802;5234589.55;2817384.68;2006897.96;12224.64;398082.27;331887.36;1406.97;134539.9;137896.25;2510771.13;860877.44;9211968.6
1101;18103100.62;9467762.57;6615718.17;239288.63;1780331.25;153607;2512262.9;8425.5;2644131.51;193810.55;1474367.24;25089705.32
0401;6665991.17;2855129.3;1874043.04;1189229.74;747589.09;0;297420.67;56925.84;259642.5;645850.16;1093843.72;9019674.06
1701;10064225.72;2845553.15;5688593.17;837574.48;692504.92;58549.62;126941.9;214411.78;1493816.66;554536.44;9063218.82;21575700.94
0803;7480937.47;3185302.6;3058777.56;51663.28;1185194.03;139704.12;84706.93;51976.92;194335.46;460894.8;689944.18;9102499.88
0201;7270012.05;3535352.5;2479972.9;168712.72;1085973.93;0;243389.76;425110.55;326569.68;1172187.35;1176027.55;10613296.94
1503;57563370.31;28169769.88;21682918.29;429353.28;7281328.86;477745.37;754431.9;1537020.32;1586245.22;5544008.08;5905102.58;73367923.78
0902;6643198.18;3063712.85;2511747.05;161559.97;906178.31;16057;596583.19;119556.79;651704.54;450551.66;821264.93;9298916.29
1403;10647321.28;4579593.97;4476694.35;117548.11;1473484.85;422827.87;422097.68;12945.48;284404.21;574847.15;709524.77;13073968.44
0202;7965026.2;3892694.55;2599302.6;39438.18;1433590.87;9250.52;752150.08;119439.87;662985.9;544724.42;1006771.87;11060348.86
1404;4733369.57;2701803.17;1263574.37;266817.5;501174.53;0;17355.08;134.58;11552.26;95841.14;1013492.08;5871744.71
1201;4855052.67;2645501.77;1642185.08;24084.54;543281.28;20975.07;34149.65;72779.69;308178.95;436184.16;491952.81;6219273
1002;4183438.06;1541058.9;2156844.48;101311.38;384223.3;0;641757.85;2124.57;662023.17;1402841.75;861298.75;7753484.15
0203;3484116.05;1987521.42;940173.13;4622.46;551799.04;31;23059.06;90098.81;160981.37;177482.34;166593.12;4102361.75
1115;63275561.28;26644144.72;27494953.44;359447.88;8777015.24;1352068.27;1133606.43;974635.42;269801.21;2550751.73;5062977.94;74619402.28
1301;21433950.6;8893364.98;9374643.53;207653.22;2958288.87;332377.05;2314241.84;32416.73;1486983.09;268363.98;4244722.1;30113055.39
0301;8018556.08;3781988.87;2892501.51;136953.62;1207112.08;16543.75;443272.48;442447.54;154666.38;289498.31;2231713.93;11596698.47
0103;10629165.37;4176281.1;5405539.88;172584.01;874760.38;26678.8;1505667.81;2293497.22;1004713.66;534386.23;1312218.09;17306327.18
4301;9817100.23;4856586.34;2760482.3;131359.43;2068672.16;646699.39;1377230.06;252470.22;2318463.57;927926.67;2904919.7;18244809.84
1003;6273134.4;2242388.88;3198929.49;278666.9;553149.13;41300.33;366693.31;148964.51;909981.42;421184.9;1770589.55;9931848.42
1601;11990402.47;4898259.31;5948297.74;50386.63;1093458.79;334302.21;1978293.83;801898.88;1508169.53;1614203.17;2574495.84;20801765.93
0601;7744409.68;3346504.89;3275958.46;107397.75;1014548.58;72500;29210.7;244508.25;811278.99;389577.31;1677385.05;10968869.98
1801;6035866.24;2911885.53;2331564.38;269723.67;522692.66;74950;424652.18;11225.26;2264534.42;299193.97;1102287.37;10212709.44
0104;10337604.86;3584395.92;5282064.32;83987.47;1387157.15;45997.56;740043.12;208422.81;930451.36;1398249.07;1628386.37;15289155.15
0702;6024507.74;2868552.1;2204190.65;52584.04;899180.95;59191.03;59079.67;2263867.52;3231.41;427044.29;1131241.74;9968163.4
1202;3548675.01;1790709.8;1318382.22;11996.93;427586.06;108291.96;684679.06;7091.87;51802.23;413437.57;336084.41;5150062.11
1102;7792893.71;3742303.14;3428933.97;113117.24;508539.36;411.72;225204.33;145065.37;205453.78;208078.45;1039289.43;9616396.79
0105;27009583.36;11709864.97;7316424.4;1781214.25;6202079.74;3126941.29;615625.56;87685.86;288383.23;1514716.6;12188389.83;44831325.73
1203;5765395.12;3296321.57;1895086.67;106610.45;467376.43;18010.92;66605.56;41242.98;171300.58;510819.17;664643.93;7238018.26
1103;10053526.41;5520910.62;3078439.8;248228.98;1205947.01;126748;32990.65;36949.05;119302.2;131628.43;2167559.26;12668704
1302;10076866.37;4825772.01;4195329.58;56619.17;999145.61;32327.05;1404176.44;219840.84;757648.8;566697.16;1411017.45;14468574.11
0302;34079604.42;14458008.54;14665791.22;298073.23;4657731.43;175493.1;1309754.21;118316.4;3999755.68;1177542.18;17719489.1;58579955.09
0204;3016442.5;1827295.2;451194.45;31126.94;706825.91;4761.77;7993.28;0;49515.01;111685.42;449136.04;3639534.02
1504;32310054.36;14642959.55;13125303.09;531848.12;4009943.6;38430.75;205366.61;767056.87;467252.26;3004173.59;3924337.99;40716672.43
1004;7096361.59;1839443.67;4259777.99;21384.22;975755.71;0;195606.01;64198.15;662914.72;214358.08;635508.16;8868946.71
0205;17594020.29;8266043.47;6393796.82;182387;2751793;615.89;771776.13;318277.76;902057.95;452889.75;2188105.93;22227743.7
0501;4421248.49;1148519.92;2714326.04;60017.85;498384.68;75370.14;52628.1;13342.01;598952.99;289722.45;650875.14;6102139.32
1405;12801614.76;5723697.55;4746841.69;12610.21;2318465.31;18533.93;1075851.11;74521.5;186643.81;608101.74;834984.93;15600251.78
1005;7186454.86;3246883.19;3357372.92;171289.28;410909.47;0;993274.5;232035.83;33549.47;100803.33;1003314.47;9549432.46
0703;5636301.54;3098893.67;1977436.94;281768.66;278202.27;0;29278.51;36270.66;26996.96;572604.87;1190827.93;7492280.47
