codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;despesatotal
1401;15709721.45;7110002.5;4831879.5;112063.79;3655775.66;670107.67;1986471.49;241851.46;326049.74;703029.74;2240868.49;21878100.04
101;17557735.94;7619550.9;7063938.66;47981.12;2826265.26;1133785.69;4467093.52;561985.45;1115340.22;2661328.3;2063200.73;29560469.85
901;4748863.71;1933847.78;2243156.82;29803.99;542055.12;95194.25;45996.55;745192.79;1610176.48;239718.63;453795.74;7938938.15
701;6583395.7;3056689.57;2463892.21;393583.48;669230.44;0;54934.52;572321.06;871657.82;438691.3;576885.18;9097885.58
102;10148472.74;4010681.56;4978556.05;31468.74;1127766.39;465459.62;131554.77;0;880529.54;933026.9;1156113.25;13715156.82
801;49153157.52;19859464;23415486.54;268713.83;5609493.15;261995.91;246732.45;227034.05;1252393.71;1605179.19;6916106.73;59662599.56
1501;13752367.2;7183465;5022492.24;8590.72;1537819.24;30000;897450.26;158451.5;118078.76;948937.13;350393.05;16255677.9
1402;7633468.02;2984116.72;3409946.9;239454.99;999949.41;102899.78;174209.53;6418899.4;159322.05;873848.28;6636377.09;21999024.15
1001;19197101.48;6564823.91;9787705.3;120111.04;2724461.23;38580.75;166969.88;146874.47;2416230.44;1568873.42;6359631.02;29894261.46
1502;12103671.66;6832560.6;4079703.79;69947.78;1121459.49;0;45250.25;34837.1;190692.19;717515.11;982258.84;14074225.15
802;5781769.65;2786791.99;1990306.51;23638.23;981032.92;237502.92;0;174053.09;328902.04;1003641.06;408365.53;7934234.29
1101;17936476.66;9422308.65;5680394.22;241101.14;2592672.65;1322073.99;461424.05;19366.07;1055895.2;291356.39;2111761.63;23198353.99
401;6499730.13;2715424.26;2205923.41;790985.92;787396.54;25000;153862.48;82868.96;88057.69;1034696.1;12971291.7;20855507.06
1701;8460996.75;2779246.42;4599548.44;846016.38;236185.51;30000;279141.3;235950.39;1245458.14;849915.93;2882233.75;13983696.26
803;7704620.55;3121481.65;3291516.13;38127.13;1253495.64;49938.99;21571.12;130047.92;304147.83;621243.72;1045257;9876827.13
201;7479556.51;3463146.4;2898380.79;74665.09;1043364.23;0;16056.23;555297.74;178303.58;734960.22;1388554.31;10352728.59
1503;61405331.22;29833060.78;22916313.24;345067.14;8310890.06;545690.13;932986.7;1632102.21;2248375.64;6546223.96;9394496.36;82705206.22
902;6599610.79;3054705.86;2511792.93;47378.96;985733.04;0;307458.49;83532.86;563088.48;737329.63;928236.82;9219257.07
1403;10688761.53;4585886.77;4367255.96;89722.9;1645895.9;474000;123571.73;205109.7;679567.59;1134611.6;1228353.78;14533975.93
202;8175517.71;3831089.97;3014418.66;23404.68;1306604.4;226055;485524.93;219134.83;617760.12;1132344.89;1109463.21;11965800.69
1404;4451801.48;2618219.26;1298258.18;162756.89;372567.15;0;7276.68;0;30538.19;27886.75;1049402.27;5566905.37
1201;4760140.15;2556935.11;1734728.48;19375.9;449100.66;38922.05;18732.51;77752.03;67099.97;669876.81;306978.11;5939501.63
1002;4098581.49;1458588.45;2059390.06;167063.71;413539.27;50345.44;2478632.79;1879.97;1855306.29;1076636.47;732196.18;10293578.63
203;3484672.72;2035199.06;1009458.25;1822.31;438193.1;0;8331.21;8149.58;184269.58;83303.4;260607.12;4029333.61
1115;60322545.6;27249876.51;22845747.59;90787.06;10136134.44;762536.25;1415303.84;1063329.77;560551.05;906239.7;5271374.66;70301880.87
1301;20008282.89;8444622.74;8610164.01;155746.27;2797749.87;2553.73;1935208.34;66020.09;1400075.19;886625.28;3667810.93;27966576.45
301;8571376.3;3660653.21;3578060.31;79668.6;1252994.18;30890.17;502806.52;195664.61;423195.95;635428.32;1710135.26;12069497.13
103;10418595.98;4140704.79;5065121.25;156013.92;1056756.02;16400;617417.03;726252.12;1268482.94;1323259.86;1515846.55;15886254.48
4301;10414928.56;4701923.75;3457963;94638.05;2160403.76;521405.8;1076870.2;72336.19;2552813.57;1130188.86;3533118.96;19301662.14
1003;6214938.72;2196597.2;3189846.89;261283.88;567210.75;28710;190042.99;81909.53;964151.23;551105.8;2254876.65;10285734.92
1601;13526480.85;4951419.81;7043215.98;86952.33;1444892.73;552976.19;1087015.44;496188.5;1699780.27;1533574.86;2989424.81;21885440.92
601;7571554.13;3224675.71;3162890.01;59393.09;1124595.32;12132.5;147366.92;178061.14;1106012.57;328298.34;1743576.36;11087001.96
1801;5994872.83;3152687.46;2517484.29;206185.39;118515.69;101615;578158.83;4786.39;368103.74;551177.36;1298789.41;8897503.56
104;9853050.06;3402696.72;5127325.08;72266.53;1250761.73;326075.49;1102670.03;210054.25;1664685.75;2455059.57;1449342.22;17060937.37
702;6117826.36;2697964.88;2388834.02;47325.46;983702;10339.67;144602.24;226340.65;0;362275.56;1135666.46;7997050.94
1202;3558159.72;1766276.24;1252762.75;11751.41;527369.32;33096.02;1930526.44;27269.17;36272.58;748682.36;335091.16;6669097.45
1102;7914035.74;3597725.07;3669184.03;109701.56;537425.08;37000;51162.07;69320.31;448348.64;303173.51;852039.11;9675079.38
105;29935766.99;12899822.29;11810527;1213371.74;4012045.96;2235965.73;1754690.1;263055.92;645675.04;3853274.74;9580176.96;48268605.48
1203;6203024.74;3280682.43;2355749.2;91251.49;475341.62;1768;24109.66;0;2592.23;940586.55;564681.37;7736762.55
1103;10992783.71;5502130.6;3156498.66;197843.47;2136310.98;0;95285.3;164370.22;204337.57;668730.74;2238887.46;14364395
1302;9957444.77;4752682.69;3900031.68;47699.93;1257030.47;0;162113.45;306333.03;813607.29;476279.25;1303649.5;13019427.29
302;33964876.48;13691541.85;14564167.19;271799.67;5437367.77;116032.88;472752.37;580579.77;3192687.74;1217718.69;12189199.14;51733847.07
204;3119873.72;1846855.59;449943;20409.13;802666;2744.95;12621.1;0;19233.83;43059.44;396418.48;3593951.52
1504;29927749.9;14239908.54;11600756.87;370339.68;3716744.81;94401.86;201678.59;830588.19;1142774.9;1822563.08;4111167.3;38130923.82
1004;7791566.82;1987465.56;4733589.77;13602.46;1056909.03;5350;122798.13;774999.07;840987.07;433383.96;860188.77;10829273.82
205;17802306.94;8064964.83;6732722.53;94819.53;2909800.05;22770.24;711196.14;12932.76;520024.15;634349.28;1862831.27;21566410.78
501;4843416.81;1123876.66;3044909.15;37356.99;637274.01;129108.73;490931.64;67378.01;389123.49;211170.93;892087.68;7023217.29
1405;12749951.73;5814464.73;4619392.15;7314.33;2308780.52;0;501335.39;78096.05;346563.05;191700.29;1225558.39;15093204.9
1005;7888497.27;3447306.7;3915883.03;158885.12;366422.42;0;34132.52;129128.87;103159.64;494821.47;461179.95;9110919.72
703;5755967.03;2987887.58;2223890.72;204185.25;340003.48;18646.43;66319.45;98708.34;36538;202519.87;1005310.04;7184009.16
1702;5742889.85;2452364.88;2195971.11;9615.4;1084938.46;29716.65;254357.66;63957.14;642123.92;428658.85;730849.46;7892553.53
303;62248925.66;23723998.32;18815808.59;338447.65;19370671.1;0;3946449.24;14977.18;2113771.16;1807880.37;15297755.07;85429758.68
402;19513607.58;6653559.82;11347881.59;161492.64;1350673.53;136325.38;994977.5;590157.85;1308555.07;1869258.01;4000563.21;28413444.6
304;9494327.82;4561984.25;3910626.33;126788.35;894928.89;83829.7;208140.43;229087.73;1185060.99;601770.49;1062438.28;12864655.44
1104;7899521.08;3625387.61;3649477.81;32577.13;592078.53;0;691420.66;55194.23;372159.24;232876.78;416930.25;9668102.24
1006;15912391.36;5210215.62;7646229.9;95295.05;2960650.79;304099.26;1267242.39;9056.41;1523221.75;1959629.87;3175861.78;24151502.82
3101;5760612.17;2364750.88;2528987.8;103833.82;763039.67;0;57914.45;28555.44;1373789.19;526639.96;1682191.2;9429702.41
4501;2454679.64;1651450.89;625797.5;107268.04;70163.21;0;28848.49;16537.71;1113849.6;117087.8;1165565.47;4896568.71
3102;6672768.22;3667697.88;2067879.73;237133.97;700056.64;145431.98;68702.87;44390.92;3022549.66;649561.38;3080928.94;13684333.97
1602;11324376.56;5042743.92;5137551.46;130637.23;1013443.95;0;875804.25;492525.15;1698207.33;1615164.92;1222879.58;17228957.79
1204;6407376.8;3117235.07;2399134.54;21255.35;869751.84;1185835.69;34343.15;33959.95;1318372.45;924577.03;199074.57;10103539.64
