codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;despesatotal
1401;3767595.19;1657555.49;1380168.47;44527.8;685343.43;2455.45;290916.77;18521.09;54824.37;106970.4;392435.12;4633718.39
101;3967567.94;1592755.63;1683286.96;4312.56;687212.79;23294;688424.85;204661.77;1211130.74;159368.6;319681.75;6574129.65
901;1014430.2;401508.71;442207.63;9280.41;161433.45;533.6;46745.16;66212.1;50966.53;65755.02;65402.39;1310045
701;1744890.61;825433.27;656214.3;183406.29;79836.75;0;44205.07;11300;216503.12;86924.89;461723.8;2565547.49
102;2003125.19;896424.88;967478.79;29534.58;109686.94;160000;74078.47;0;58496.75;206134.48;242472.93;2744307.82
801;7016717.23;4716964.97;1700308.3;114221.9;485222.06;0;442261.3;10968.53;107128.14;90119.49;710918.87;8378113.56
1501;3126677.23;1397676.63;978591.14;10535.43;739874.03;0;2576.91;29483.9;372194.81;10850.6;65404.46;3607187.91
1402;1654143.85;668042.78;683195.11;90457.66;212448.3;2194.52;125599.19;0;92383.74;74822.58;133930.67;2083074.55
1001;3923858.22;1557651.85;1990860.27;16110.7;359235.4;0;195678.32;13127.96;40572.06;107995.72;445221.19;4726453.47
1502;1872899.62;1509764.73;279883.84;4477.59;78773.46;0;2815.01;0;24822.58;1518.78;40900.2;1942956.19
802;987942.82;646537.58;298603.46;299.49;42502.29;32324.69;1215.07;604.98;11872.41;21940.1;177485.45;1233385.52
1101;3306491.43;2170208.95;687134.18;54444.5;394703.8;0;66219.44;0;267670.42;46582.02;197640.03;3884603.34
401;1172947;631328.16;352073.76;131307;58238.08;2450;3078.1;8610.47;152618.64;122018.42;525923.84;1987646.47
1701;1037933.26;659665.5;248892.14;53833.08;75542.54;7937.34;0;78076.05;103198.38;3613.1;317440.36;1548198.49
803;1563458.25;767268.82;540092.65;14295.56;241801.22;6255.91;3423.53;126.94;83878.14;19113.64;158903.76;1835160.17
